#At time x process y state arr w total z remain y wait k
At time 5 process 1 started arr 5 total 18 remain 18 wait 0
At time 14 process 1 stopped arr 5 total 18 remain 9 wait 0
At time 14 process 2 started arr 14 total 25 remain 25 wait 0
At time 17 process 2 stopped arr 14 total 25 remain 22 wait 0
At time 17 process 1 resumed arr 5 total 18 remain 9 wait 3
At time 20 process 1 stopped arr 5 total 18 remain 6 wait 3
At time 20 process 3 started arr 17 total 21 remain 21 wait 3
At time 23 process 3 stopped arr 17 total 21 remain 18 wait 3
At time 23 process 2 resumed arr 14 total 25 remain 22 wait 6
At time 26 process 2 stopped arr 14 total 25 remain 19 wait 6
At time 26 process 1 resumed arr 5 total 18 remain 6 wait 9
At time 29 process 1 stopped arr 5 total 18 remain 3 wait 9
At time 29 process 3 resumed arr 17 total 21 remain 18 wait 9
At time 32 process 3 stopped arr 17 total 21 remain 15 wait 9
At time 32 process 4 started arr 25 total 21 remain 21 wait 7
At time 35 process 4 stopped arr 25 total 21 remain 18 wait 7
At time 35 process 2 resumed arr 14 total 25 remain 19 wait 15
At time 38 process 2 stopped arr 14 total 25 remain 16 wait 15
At time 38 process 1 resumed arr 5 total 18 remain 3 wait 18
At time 41 process 1 finished arr 5 total 18 remain 0 wait 18 TA 36 WTA 2.00
At time 41 process 5 started arr 30 total 24 remain 24 wait 11
At time 44 process 5 stopped arr 30 total 24 remain 21 wait 11
At time 44 process 3 resumed arr 17 total 21 remain 15 wait 21
At time 47 process 3 stopped arr 17 total 21 remain 12 wait 21
At time 47 process 7 started arr 34 total 1 remain 1 wait 13
At time 48 process 7 finished arr 34 total 1 remain 0 wait 13 TA 14 WTA 14.00
At time 48 process 8 started arr 35 total 13 remain 13 wait 13
At time 51 process 8 stopped arr 35 total 13 remain 10 wait 13
At time 51 process 4 resumed arr 25 total 21 remain 18 wait 23
At time 54 process 4 stopped arr 25 total 21 remain 15 wait 23
At time 54 process 2 resumed arr 14 total 25 remain 16 wait 31
At time 57 process 2 stopped arr 14 total 25 remain 13 wait 31
At time 57 process 9 started arr 40 total 1 remain 1 wait 17
At time 58 process 9 finished arr 40 total 1 remain 0 wait 17 TA 18 WTA 18.00
At time 58 process 5 resumed arr 30 total 24 remain 21 wait 25
At time 61 process 5 stopped arr 30 total 24 remain 18 wait 25
At time 61 process 3 resumed arr 17 total 21 remain 12 wait 35
At time 64 process 3 stopped arr 17 total 21 remain 9 wait 35
At time 64 process 10 started arr 50 total 28 remain 28 wait 14
At time 67 process 10 stopped arr 50 total 28 remain 25 wait 14
At time 67 process 8 resumed arr 35 total 13 remain 10 wait 29
At time 70 process 8 stopped arr 35 total 13 remain 7 wait 29
At time 70 process 4 resumed arr 25 total 21 remain 15 wait 39
At time 73 process 4 stopped arr 25 total 21 remain 12 wait 39
At time 73 process 2 resumed arr 14 total 25 remain 13 wait 47
At time 76 process 2 stopped arr 14 total 25 remain 10 wait 47
At time 76 process 5 resumed arr 30 total 24 remain 18 wait 40
At time 79 process 5 stopped arr 30 total 24 remain 15 wait 40
At time 79 process 3 resumed arr 17 total 21 remain 9 wait 50
At time 82 process 3 stopped arr 17 total 21 remain 6 wait 50
At time 82 process 10 resumed arr 50 total 28 remain 25 wait 29
At time 85 process 10 stopped arr 50 total 28 remain 22 wait 29
At time 85 process 8 resumed arr 35 total 13 remain 7 wait 44
At time 88 process 8 stopped arr 35 total 13 remain 4 wait 44
At time 88 process 4 resumed arr 25 total 21 remain 12 wait 54
At time 91 process 4 stopped arr 25 total 21 remain 9 wait 54
At time 91 process 2 resumed arr 14 total 25 remain 10 wait 62
At time 94 process 2 stopped arr 14 total 25 remain 7 wait 62
At time 94 process 5 resumed arr 30 total 24 remain 15 wait 55
At time 97 process 5 stopped arr 30 total 24 remain 12 wait 55
At time 97 process 3 resumed arr 17 total 21 remain 6 wait 65
At time 100 process 3 stopped arr 17 total 21 remain 3 wait 65
At time 100 process 10 resumed arr 50 total 28 remain 22 wait 44
At time 103 process 10 stopped arr 50 total 28 remain 19 wait 44
At time 103 process 8 resumed arr 35 total 13 remain 4 wait 59
At time 106 process 8 stopped arr 35 total 13 remain 1 wait 59
At time 106 process 4 resumed arr 25 total 21 remain 9 wait 69
At time 109 process 4 stopped arr 25 total 21 remain 6 wait 69
At time 109 process 2 resumed arr 14 total 25 remain 7 wait 77
At time 112 process 2 stopped arr 14 total 25 remain 4 wait 77
At time 112 process 5 resumed arr 30 total 24 remain 12 wait 70
At time 115 process 5 stopped arr 30 total 24 remain 9 wait 70
At time 115 process 3 resumed arr 17 total 21 remain 3 wait 80
At time 118 process 3 finished arr 17 total 21 remain 0 wait 80 TA 101 WTA 4.81
At time 118 process 10 resumed arr 50 total 28 remain 19 wait 59
At time 121 process 10 stopped arr 50 total 28 remain 16 wait 59
At time 121 process 8 resumed arr 35 total 13 remain 1 wait 74
At time 122 process 8 finished arr 35 total 13 remain 0 wait 74 TA 87 WTA 6.69
At time 122 process 4 resumed arr 25 total 21 remain 6 wait 82
At time 125 process 4 stopped arr 25 total 21 remain 3 wait 82
At time 125 process 2 resumed arr 14 total 25 remain 4 wait 90
At time 128 process 2 stopped arr 14 total 25 remain 1 wait 90
At time 128 process 5 resumed arr 30 total 24 remain 9 wait 83
At time 131 process 5 stopped arr 30 total 24 remain 6 wait 83
At time 131 process 10 resumed arr 50 total 28 remain 16 wait 69
At time 134 process 10 stopped arr 50 total 28 remain 13 wait 69
At time 134 process 4 resumed arr 25 total 21 remain 3 wait 91
At time 137 process 4 finished arr 25 total 21 remain 0 wait 91 TA 112 WTA 5.33
At time 137 process 2 resumed arr 14 total 25 remain 1 wait 99
At time 138 process 2 finished arr 14 total 25 remain 0 wait 99 TA 124 WTA 4.96
At time 138 process 5 resumed arr 30 total 24 remain 6 wait 90
At time 141 process 5 stopped arr 30 total 24 remain 3 wait 90
At time 141 process 10 resumed arr 50 total 28 remain 13 wait 76
At time 144 process 10 stopped arr 50 total 28 remain 10 wait 76
At time 144 process 5 resumed arr 30 total 24 remain 3 wait 93
At time 147 process 5 finished arr 30 total 24 remain 0 wait 93 TA 117 WTA 4.88
At time 147 process 10 resumed arr 50 total 28 remain 10 wait 79
At time 157 process 10 finished arr 50 total 28 remain 0 wait 79 TA 107 WTA 3.82
